2011-04-25 18:20:59 status half-installed libcairo2 1.8.10-2ubuntu1
2011-04-25 18:21:00 status unpacked libcairo2 1.8.10-2ubuntu1
2011-04-25 18:21:00 status unpacked libcairo2 1.8.10-2ubuntu1
2011-04-25 18:21:00 install libdatrie1 <none> 0.2.2-3
2011-04-25 18:21:00 status half-installed libdatrie1 0.2.2-3
2011-04-25 18:21:00 status unpacked libdatrie1 0.2.2-3
2011-04-25 18:21:00 status unpacked libdatrie1 0.2.2-3
2011-04-25 18:21:00 install libidl0 <none> 0.8.13-1
2011-04-25 18:21:00 status half-installed libidl0 0.8.13-1
2011-04-25 18:21:00 status unpacked libidl0 0.8.13-1
2011-04-25 18:21:00 status unpacked libidl0 0.8.13-1
2011-04-25 18:21:00 install liborbit2 <none> 1:2.14.18-0.1
2011-04-25 18:21:00 status half-installed liborbit2 1:2.14.18-0.1
2011-04-25 18:21:00 status unpacked liborbit2 1:2.14.18-0.1
2011-04-25 18:21:00 status unpacked liborbit2 1:2.14.18-0.1
2011-04-25 18:21:00 install libgconf2-4 <none> 2.28.1-0ubuntu1
2011-04-25 18:21:00 status half-installed libgconf2-4 2.28.1-0ubuntu1
2011-04-25 18:21:01 status unpacked libgconf2-4 2.28.1-0ubuntu1
2011-04-25 18:21:01 status unpacked libgconf2-4 2.28.1-0ubuntu1
2011-04-25 18:21:01 install libxfixes3 <none> 1:4.0.4-1
2011-04-25 18:21:01 status half-installed libxfixes3 1:4.0.4-1
2011-04-25 18:21:01 status unpacked libxfixes3 1:4.0.4-1
2011-04-25 18:21:01 status unpacked libxfixes3 1:4.0.4-1
2011-04-25 18:21:01 install libxdamage1 <none> 1:1.1.2-1
2011-04-25 18:21:01 status half-installed libxdamage1 1:1.1.2-1
2011-04-25 18:21:01 status unpacked libxdamage1 1:1.1.2-1
2011-04-25 18:21:01 status unpacked libxdamage1 1:1.1.2-1
2011-04-25 18:21:01 install libxxf86vm1 <none> 1:1.1.0-2
2011-04-25 18:21:01 status half-installed libxxf86vm1 1:1.1.0-2
2011-04-25 18:21:02 status unpacked libxxf86vm1 1:1.1.0-2
2011-04-25 18:21:02 status unpacked libxxf86vm1 1:1.1.0-2
2011-04-25 18:21:02 install libgl1-mesa-glx <none> 7.7.1-1ubuntu3
2011-04-25 18:21:02 status half-installed libgl1-mesa-glx 7.7.1-1ubuntu3
2011-04-25 18:21:02 status unpacked libgl1-mesa-glx 7.7.1-1ubuntu3
2011-04-25 18:21:02 status unpacked libgl1-mesa-glx 7.7.1-1ubuntu3
2011-04-25 18:21:02 install libgstreamer0.10-0 <none> 0.10.28-1
2011-04-25 18:21:02 status half-installed libgstreamer0.10-0 0.10.28-1
